,hb,year,month,day,hour
306,7,2020,1,13,18
307,8,2020,1,13,19
308,8,2020,1,13,20
309,7,2020,1,13,21
310,7,2020,1,13,22
311,7,2020,1,13,23
312,7,2020,1,14,0
313,8,2020,1,14,1
314,7,2020,1,14,2
315,8,2020,1,14,3
316,7,2020,1,14,4
317,7,2020,1,14,5
318,8,2020,1,14,6
319,7,2020,1,14,7
320,7,2020,1,14,8
321,6,2020,1,14,9
322,7,2020,1,14,10
323,8,2020,1,14,11
324,7,2020,1,14,12
325,6,2020,1,14,13
326,6,2020,1,14,14
327,7,2020,1,14,15
328,7,2020,1,14,16
329,7,2020,1,14,17
330,7,2020,1,14,18
331,7,2020,1,14,19
332,7,2020,1,14,20
333,7,2020,1,14,21
334,6,2020,1,14,22
335,7,2020,1,14,23
336,7,2020,1,15,0
337,7,2020,1,15,1
338,7,2020,1,15,2
339,7,2020,1,15,3
340,7,2020,1,15,4
341,7,2020,1,15,5
342,7,2020,1,15,6
343,7,2020,1,15,7
344,7,2020,1,15,8
345,7,2020,1,15,9
346,7,2020,1,15,10
347,7,2020,1,15,11
348,7,2020,1,15,12
349,7,2020,1,15,13
350,8,2020,1,15,14
351,8,2020,1,15,15
352,7,2020,1,15,16
353,7,2020,1,15,17
354,6,2020,1,15,18
355,8,2020,1,15,19
356,7,2020,1,15,20
357,7,2020,1,15,21
358,7,2020,1,15,22
359,7,2020,1,15,23
360,7,2020,1,16,0
361,7,2020,1,16,1
362,7,2020,1,16,2
363,6,2020,1,16,3
364,7,2020,1,16,4
365,7,2020,1,16,5
366,7,2020,1,16,6
367,7,2020,1,16,7
368,7,2020,1,16,8
369,7,2020,1,16,9
370,7,2020,1,16,10
371,8,2020,1,16,11
372,7,2020,1,16,12
373,7,2020,1,16,13
374,7,2020,1,16,14
375,7,2020,1,16,15
376,7,2020,1,16,16
377,7,2020,1,16,17
378,7,2020,1,16,18
379,7,2020,1,16,19
380,7,2020,1,16,20
381,7,2020,1,16,21
382,8,2020,1,16,22
383,7,2020,1,16,23
384,7,2020,1,17,0
385,7,2020,1,17,1
386,7,2020,1,17,2
387,6,2020,1,17,3
388,7,2020,1,17,4
389,7,2020,1,17,5
390,7,2020,1,17,6
391,7,2020,1,17,7
392,7,2020,1,17,8
393,7,2020,1,17,9
394,7,2020,1,17,10
395,7,2020,1,17,11
396,6,2020,1,17,12
397,7,2020,1,17,13
398,7,2020,1,17,14
399,7,2020,1,17,15
400,7,2020,1,17,16
401,7,2020,1,17,17
402,7,2020,1,17,18
403,6,2020,1,17,19
404,6,2020,1,17,20
405,8,2020,1,17,21
406,7,2020,1,17,22
407,7,2020,1,17,23
408,7,2020,1,18,0
409,7,2020,1,18,1
410,7,2020,1,18,2
411,7,2020,1,18,3
412,7,2020,1,18,4
413,8,2020,1,18,5
414,7,2020,1,18,6
415,7,2020,1,18,7
416,7,2020,1,18,8
417,7,2020,1,18,9
418,7,2020,1,18,10
419,7,2020,1,18,11
420,6,2020,1,18,12
421,7,2020,1,18,13
422,7,2020,1,18,14
423,7,2020,1,18,15
424,7,2020,1,18,16
425,7,2020,1,18,17
426,7,2020,1,18,18
427,7,2020,1,18,19
428,7,2020,1,18,20
429,7,2020,1,18,21
430,7,2020,1,18,22
431,8,2020,1,18,23
432,7,2020,1,19,0
433,7,2020,1,19,1
434,7,2020,1,19,2
435,7,2020,1,19,3
436,7,2020,1,19,4
437,6,2020,1,19,5
438,7,2020,1,19,6
439,6,2020,1,19,7
440,7,2020,1,19,8
441,7,2020,1,19,9
442,7,2020,1,19,10
443,8,2020,1,19,11
444,7,2020,1,19,12
445,7,2020,1,19,13
446,6,2020,1,19,14
447,7,2020,1,19,15
448,7,2020,1,19,16
449,7,2020,1,19,17
450,7,2020,1,19,18
451,7,2020,1,19,19
452,7,2020,1,19,20
453,7,2020,1,19,21
454,7,2020,1,19,22
455,7,2020,1,19,23
456,7,2020,1,20,0
457,7,2020,1,20,1
458,7,2020,1,20,2
459,7,2020,1,20,3
460,7,2020,1,20,4
461,8,2020,1,20,5
462,7,2020,1,20,6
463,7,2020,1,20,7
464,8,2020,1,20,8
465,7,2020,1,20,9
466,7,2020,1,20,10
467,7,2020,1,20,11
468,7,2020,1,20,12
469,7,2020,1,20,13
470,7,2020,1,20,14
471,8,2020,1,20,15
472,7,2020,1,20,16
473,7,2020,1,20,17
474,7,2020,1,20,18
475,7,2020,1,20,19
476,7,2020,1,20,20
477,7,2020,1,20,21
478,7,2020,1,20,22
479,6,2020,1,20,23
480,7,2020,1,21,0
481,7,2020,1,21,1
482,7,2020,1,21,2
483,7,2020,1,21,3
484,7,2020,1,21,4
485,7,2020,1,21,5
486,7,2020,1,21,6
487,7,2020,1,21,7
488,7,2020,1,21,8
489,7,2020,1,21,9
490,7,2020,1,21,10
491,6,2020,1,21,11
492,7,2020,1,21,12
493,7,2020,1,21,13
494,8,2020,1,21,14
495,7,2020,1,21,15
496,7,2020,1,21,16
497,8,2020,1,21,17
498,7,2020,1,21,18
499,7,2020,1,21,19
500,7,2020,1,21,20
501,8,2020,1,21,21
502,7,2020,1,21,22
503,7,2020,1,21,23
504,8,2020,1,22,0
505,8,2020,1,22,1
506,7,2020,1,22,2
507,7,2020,1,22,3
508,6,2020,1,22,4
509,6,2020,1,22,5
510,7,2020,1,22,6
511,6,2020,1,22,7
512,7,2020,1,22,8
513,7,2020,1,22,9
514,7,2020,1,22,10
515,7,2020,1,22,11
516,8,2020,1,22,12
517,7,2020,1,22,13
518,7,2020,1,22,14
519,7,2020,1,22,15
520,6,2020,1,22,16
521,7,2020,1,22,17
522,6,2020,1,22,18
523,7,2020,1,22,19
524,7,2020,1,22,20
525,7,2020,1,22,21
526,7,2020,1,22,22
527,7,2020,1,22,23
528,7,2020,1,23,0
529,7,2020,1,23,1
530,7,2020,1,23,2
531,6,2020,1,23,3
532,7,2020,1,23,4
533,7,2020,1,23,5
534,7,2020,1,23,6
535,8,2020,1,23,7
536,7,2020,1,23,8
537,7,2020,1,23,9
538,7,2020,1,23,10
539,7,2020,1,23,11
540,7,2020,1,23,12
541,7,2020,1,23,13
542,7,2020,1,23,14
543,7,2020,1,23,15
544,7,2020,1,23,16
545,7,2020,1,23,17
546,7,2020,1,23,18
547,7,2020,1,23,19
548,7,2020,1,23,20
549,6,2020,1,23,21
550,8,2020,1,23,22
551,7,2020,1,23,23
552,7,2020,1,24,0
553,7,2020,1,24,1
554,7,2020,1,24,2
555,7,2020,1,24,3
556,7,2020,1,24,4
557,7,2020,1,24,5
558,6,2020,1,24,6
559,7,2020,1,24,7
560,7,2020,1,24,8
561,7,2020,1,24,9
562,7,2020,1,24,10
563,7,2020,1,24,11
564,7,2020,1,24,12
565,7,2020,1,24,13
566,8,2020,1,24,14
567,7,2020,1,24,15
568,7,2020,1,24,16
569,7,2020,1,24,17
570,8,2020,1,24,18
571,7,2020,1,24,19
572,7,2020,1,24,20
573,7,2020,1,24,21
574,7,2020,1,24,22
575,6,2020,1,24,23
576,7,2020,1,25,0
577,8,2020,1,25,1
578,7,2020,1,25,2
579,7,2020,1,25,3
580,6,2020,1,25,4
581,7,2020,1,25,5
582,7,2020,1,25,6
583,7,2020,1,25,7
584,7,2020,1,25,8
585,7,2020,1,25,9
586,8,2020,1,25,10
587,8,2020,1,25,11
588,7,2020,1,25,12
589,7,2020,1,25,13
590,8,2020,1,25,14
591,7,2020,1,25,15
592,7,2020,1,25,16
593,8,2020,1,25,17
594,7,2020,1,25,18
595,7,2020,1,25,19
596,7,2020,1,25,20
597,7,2020,1,25,21
598,7,2020,1,25,22
599,7,2020,1,25,23
600,8,2020,1,26,0
601,7,2020,1,26,1
602,7,2020,1,26,2
603,6,2020,1,26,3
604,7,2020,1,26,4
605,7,2020,1,26,5
606,8,2020,1,26,6
607,7,2020,1,26,7
608,7,2020,1,26,8
609,6,2020,1,26,9
610,6,2020,1,26,10
611,7,2020,1,26,11
612,7,2020,1,26,12
613,8,2020,1,26,13
614,6,2020,1,26,14
615,7,2020,1,26,15
616,8,2020,1,26,16
617,7,2020,1,26,17
618,8,2020,1,26,18
619,7,2020,1,26,19
620,7,2020,1,26,20
621,7,2020,1,26,21
622,8,2020,1,26,22
623,7,2020,1,26,23
624,6,2020,1,27,0
625,6,2020,1,27,1
626,7,2020,1,27,2
627,7,2020,1,27,3
628,7,2020,1,27,4
629,7,2020,1,27,5
630,7,2020,1,27,6
631,7,2020,1,27,7
632,7,2020,1,27,8
633,6,2020,1,27,9
634,7,2020,1,27,10
635,8,2020,1,27,11
636,8,2020,1,27,12
637,7,2020,1,27,13
638,7,2020,1,27,14
639,7,2020,1,27,15
640,7,2020,1,27,16
641,8,2020,1,27,17
642,7,2020,1,27,18
643,8,2020,1,27,19
644,6,2020,1,27,20
645,7,2020,1,27,21
646,7,2020,1,27,22
647,7,2020,1,27,23
648,7,2020,1,28,0
649,7,2020,1,28,1
650,7,2020,1,28,2
651,8,2020,1,28,3
652,7,2020,1,28,4
653,7,2020,1,28,5
654,7,2020,1,28,6
655,8,2020,1,28,7
656,7,2020,1,28,8
657,7,2020,1,28,9
658,7,2020,1,28,10
659,8,2020,1,28,11
660,7,2020,1,28,12
661,6,2020,1,28,13
662,7,2020,1,28,14
663,8,2020,1,28,15
664,8,2020,1,28,16
665,6,2020,1,28,17
666,7,2020,1,28,18
667,7,2020,1,28,19
668,7,2020,1,28,20
669,7,2020,1,28,21
670,7,2020,1,28,22
671,7,2020,1,28,23
672,7,2020,1,29,0
673,8,2020,1,29,1
674,7,2020,1,29,2
675,7,2020,1,29,3
676,7,2020,1,29,4
677,7,2020,1,29,5
678,7,2020,1,29,6
679,7,2020,1,29,7
680,7,2020,1,29,8
681,7,2020,1,29,9
682,7,2020,1,29,10
683,8,2020,1,29,11
684,7,2020,1,29,12
685,7,2020,1,29,13
686,7,2020,1,29,14
687,7,2020,1,29,15
688,7,2020,1,29,16
689,6,2020,1,29,17
690,7,2020,1,29,18
691,8,2020,1,29,19
692,7,2020,1,29,20
693,8,2020,1,29,21
694,8,2020,1,29,22
695,7,2020,1,29,23
696,7,2020,1,30,0
697,7,2020,1,30,1
698,8,2020,1,30,2
699,7,2020,1,30,3
700,7,2020,1,30,4
701,7,2020,1,30,5
702,7,2020,1,30,6
703,7,2020,1,30,7
704,7,2020,1,30,8
705,6,2020,1,30,9
706,7,2020,1,30,10
707,7,2020,1,30,11
708,7,2020,1,30,12
709,7,2020,1,30,13
710,7,2020,1,30,14
711,7,2020,1,30,15
712,7,2020,1,30,16
713,8,2020,1,30,17
714,7,2020,1,30,18
715,7,2020,1,30,19
716,7,2020,1,30,20
717,6,2020,1,30,21
718,7,2020,1,30,22
719,7,2020,1,30,23
720,7,2020,1,31,0
721,7,2020,1,31,1
722,7,2020,1,31,2
723,8,2020,1,31,3
724,7,2020,1,31,4
725,7,2020,1,31,5
726,7,2020,1,31,6
727,8,2020,1,31,7
728,6,2020,1,31,8
729,7,2020,1,31,9
730,7,2020,1,31,10
731,7,2020,1,31,11
732,7,2020,1,31,12
733,7,2020,1,31,13
734,7,2020,1,31,14
735,7,2020,1,31,15
736,7,2020,1,31,16
737,6,2020,1,31,17
738,7,2020,1,31,18
739,7,2020,1,31,19
740,7,2020,1,31,20
741,7,2020,1,31,21
742,8,2020,1,31,22
743,8,2020,1,31,23
744,7,2020,2,1,0
745,6,2020,2,1,1
746,7,2020,2,1,2
747,6,2020,2,1,3
748,7,2020,2,1,4
749,7,2020,2,1,5
750,7,2020,2,1,6
751,7,2020,2,1,7
752,7,2020,2,1,8
753,7,2020,2,1,9
754,7,2020,2,1,10
755,7,2020,2,1,11
756,7,2020,2,1,12
757,8,2020,2,1,13
758,7,2020,2,1,14
759,7,2020,2,1,15
760,7,2020,2,1,16
761,7,2020,2,1,17
762,7,2020,2,1,18
763,7,2020,2,1,19
764,7,2020,2,1,20
765,8,2020,2,1,21
766,7,2020,2,1,22
767,7,2020,2,1,23
768,7,2020,2,2,0
769,7,2020,2,2,1
770,7,2020,2,2,2
771,7,2020,2,2,3
772,7,2020,2,2,4
773,8,2020,2,2,5
774,8,2020,2,2,6
775,6,2020,2,2,7
776,7,2020,2,2,8
777,8,2020,2,2,9
778,7,2020,2,2,10
779,8,2020,2,2,11
780,7,2020,2,2,12
781,6,2020,2,2,13
782,7,2020,2,2,14
783,7,2020,2,2,15
784,7,2020,2,2,16
785,7,2020,2,2,17
786,6,2020,2,2,18
787,7,2020,2,2,19
788,7,2020,2,2,20
789,7,2020,2,2,21
790,7,2020,2,2,22
791,8,2020,2,2,23
792,7,2020,2,3,0
793,7,2020,2,3,1
794,7,2020,2,3,2
795,7,2020,2,3,3
796,7,2020,2,3,4
797,7,2020,2,3,5
798,6,2020,2,3,6
799,7,2020,2,3,7
800,7,2020,2,3,8
801,7,2020,2,3,9
802,6,2020,2,3,10
803,8,2020,2,3,11
804,8,2020,2,3,12
805,6,2020,2,3,13
806,7,2020,2,3,14
807,8,2020,2,3,15
808,6,2020,2,3,16
809,7,2020,2,3,17
810,7,2020,2,3,18
811,7,2020,2,3,19
812,8,2020,2,3,20
813,7,2020,2,3,21
814,7,2020,2,3,22
815,7,2020,2,3,23
816,6,2020,2,4,0
817,7,2020,2,4,1
818,7,2020,2,4,2
819,7,2020,2,4,3
820,6,2020,2,4,4
821,7,2020,2,4,5
822,7,2020,2,4,6
823,7,2020,2,4,7
824,7,2020,2,4,8
825,7,2020,2,4,9
826,7,2020,2,4,10
827,6,2020,2,4,11
828,7,2020,2,4,12
829,7,2020,2,4,13
830,7,2020,2,4,14
831,7,2020,2,4,15
832,8,2020,2,4,16
833,7,2020,2,4,17
834,7,2020,2,4,18
835,7,2020,2,4,19
836,7,2020,2,4,20
837,7,2020,2,4,21
838,7,2020,2,4,22
839,6,2020,2,4,23
840,7,2020,2,5,0
841,7,2020,2,5,1
842,6,2020,2,5,2
843,7,2020,2,5,3
844,7,2020,2,5,4
845,8,2020,2,5,5
846,7,2020,2,5,6
847,7,2020,2,5,7
848,7,2020,2,5,8
849,7,2020,2,5,9
850,6,2020,2,5,10
851,8,2020,2,5,11
852,7,2020,2,5,12
853,8,2020,2,5,13
854,8,2020,2,5,14
855,7,2020,2,5,15
856,7,2020,2,5,16
857,7,2020,2,5,17
858,6,2020,2,5,18
859,7,2020,2,5,19
860,7,2020,2,5,20
861,7,2020,2,5,21
862,8,2020,2,5,22
863,8,2020,2,5,23
864,8,2020,2,6,0
865,7,2020,2,6,1
866,7,2020,2,6,2
867,7,2020,2,6,3
868,7,2020,2,6,4
869,8,2020,2,6,5
870,7,2020,2,6,6
871,7,2020,2,6,7
872,7,2020,2,6,8
873,7,2020,2,6,9
874,7,2020,2,6,10
875,7,2020,2,6,11
876,6,2020,2,6,12
877,7,2020,2,6,13
878,7,2020,2,6,14
879,8,2020,2,6,15
880,6,2020,2,6,16
881,7,2020,2,6,17
882,7,2020,2,6,18
883,7,2020,2,6,19
884,7,2020,2,6,20
885,6,2020,2,6,21
886,8,2020,2,6,22
887,7,2020,2,6,23
888,6,2020,2,7,0
889,7,2020,2,7,1
890,7,2020,2,7,2
891,7,2020,2,7,3
892,6,2020,2,7,4
893,7,2020,2,7,5
894,7,2020,2,7,6
895,7,2020,2,7,7
896,7,2020,2,7,8
897,8,2020,2,7,9
898,7,2020,2,7,10
899,7,2020,2,7,11
900,7,2020,2,7,12
901,6,2020,2,7,13
902,7,2020,2,7,14
903,7,2020,2,7,15
904,6,2020,2,7,16
905,7,2020,2,7,17
906,7,2020,2,7,18
907,7,2020,2,7,19
908,8,2020,2,7,20
909,7,2020,2,7,21
910,6,2020,2,7,22
911,7,2020,2,7,23
912,7,2020,2,8,0
913,7,2020,2,8,1
914,7,2020,2,8,2
915,7,2020,2,8,3
916,7,2020,2,8,4
917,7,2020,2,8,5
918,8,2020,2,8,6
919,7,2020,2,8,7
920,7,2020,2,8,8
921,6,2020,2,8,9
922,7,2020,2,8,10
923,7,2020,2,8,11
924,8,2020,2,8,12
925,7,2020,2,8,13
926,7,2020,2,8,14
927,8,2020,2,8,15
928,7,2020,2,8,16
929,7,2020,2,8,17
930,8,2020,2,8,18
931,7,2020,2,8,19
932,7,2020,2,8,20
933,6,2020,2,8,21
934,7,2020,2,8,22
935,8,2020,2,8,23
936,7,2020,2,9,0
937,7,2020,2,9,1
938,7,2020,2,9,2
939,8,2020,2,9,3
940,7,2020,2,9,4
941,8,2020,2,9,5
942,7,2020,2,9,6
943,7,2020,2,9,7
944,7,2020,2,9,8
945,7,2020,2,9,9
946,7,2020,2,9,10
947,7,2020,2,9,11
948,8,2020,2,9,12
949,8,2020,2,9,13
950,6,2020,2,9,14
951,7,2020,2,9,15
952,7,2020,2,9,16
953,6,2020,2,9,17
954,7,2020,2,9,18
955,7,2020,2,9,19
956,7,2020,2,9,20
957,7,2020,2,9,21
958,7,2020,2,9,22
959,7,2020,2,9,23
960,8,2020,2,10,0
961,8,2020,2,10,1
962,7,2020,2,10,2
963,6,2020,2,10,3
964,7,2020,2,10,4
965,6,2020,2,10,5
966,7,2020,2,10,6
967,7,2020,2,10,7
968,7,2020,2,10,8
969,8,2020,2,10,9
970,7,2020,2,10,10
971,7,2020,2,10,11
972,8,2020,2,10,12
973,7,2020,2,10,13
974,8,2020,2,10,14
975,7,2020,2,10,15
976,7,2020,2,10,16
977,6,2020,2,10,17
978,7,2020,2,10,18
979,8,2020,2,10,19
980,6,2020,2,10,20
981,7,2020,2,10,21
982,7,2020,2,10,22
983,6,2020,2,10,23
984,7,2020,2,11,0
985,7,2020,2,11,1
986,7,2020,2,11,2
987,7,2020,2,11,3
988,6,2020,2,11,4
989,7,2020,2,11,5
990,7,2020,2,11,6
991,7,2020,2,11,7
992,6,2020,2,11,8
993,7,2020,2,11,9
994,7,2020,2,11,10
995,8,2020,2,11,11
996,7,2020,2,11,12
997,6,2020,2,11,13
998,7,2020,2,11,14
999,7,2020,2,11,15
1000,6,2020,2,11,16
1001,7,2020,2,11,17
1002,7,2020,2,11,18
1003,6,2020,2,11,19
1004,7,2020,2,11,20
1005,7,2020,2,11,21
1006,7,2020,2,11,22
1007,7,2020,2,11,23
1008,6,2020,2,12,0
1009,7,2020,2,12,1
1010,6,2020,2,12,2
1011,7,2020,2,12,3
1012,7,2020,2,12,4
1013,7,2020,2,12,5
1014,7,2020,2,12,6
1015,7,2020,2,12,7
1016,7,2020,2,12,8
1017,6,2020,2,12,9
1018,7,2020,2,12,10
1019,8,2020,2,12,11
1020,8,2020,2,12,12
1021,7,2020,2,12,13
1022,7,2020,2,12,14
1023,8,2020,2,12,15
1024,7,2020,2,12,16
1025,7,2020,2,12,17
1026,7,2020,2,12,18
1027,7,2020,2,12,19
1028,8,2020,2,12,20
1029,7,2020,2,12,21
1030,7,2020,2,12,22
1031,7,2020,2,12,23
1032,8,2020,2,13,0
1033,7,2020,2,13,1
1034,7,2020,2,13,2
1035,7,2020,2,13,3
1036,7,2020,2,13,4
1037,8,2020,2,13,5
1038,6,2020,2,13,6
1039,6,2020,2,13,7
1040,8,2020,2,13,8
1041,7,2020,2,13,9
1042,7,2020,2,13,10
1043,7,2020,2,13,11
1044,7,2020,2,13,12
1045,7,2020,2,13,13
1046,7,2020,2,13,14
1047,6,2020,2,13,15
1048,7,2020,2,13,16
1049,7,2020,2,13,17
1050,7,2020,2,13,18
1051,7,2020,2,13,19
1052,7,2020,2,13,20
1053,7,2020,2,13,21
1054,7,2020,2,13,22
1055,7,2020,2,13,23
1056,7,2020,2,14,0
1057,7,2020,2,14,1
1058,7,2020,2,14,2
1059,7,2020,2,14,3
1060,7,2020,2,14,4
1061,6,2020,2,14,5
1062,7,2020,2,14,6
1063,7,2020,2,14,7
1064,7,2020,2,14,8
1065,6,2020,2,14,9
1066,8,2020,2,14,10
1067,7,2020,2,14,11
1068,7,2020,2,14,12
