receipe,ingredients
Roasted swordfish with salsa on puy lentils,"Rocket, to serve"
Roasted swordfish with salsa on puy lentils,Ingredients
Roasted swordfish with salsa on puy lentils,"6 medium-sized potatoes, scrubbed"
Roasted swordfish with salsa on puy lentils,2 eggs
Roasted swordfish with salsa on puy lentils,½ tsp salt
Roasted swordfish with salsa on puy lentils,"your choice of herbs and spices, to taste (we used 1 tbsp freshly chopped parsley plus a good pinch black pepper)"
Roasted swordfish with salsa on puy lentils,2 tsp oil
Roasted swordfish with salsa on puy lentils,"2 large onions, chopped"
Roasted swordfish with salsa on puy lentils,"2 cloves garlic, crushed"
Roasted swordfish with salsa on puy lentils,"250g mushrooms, sliced (any type)"
Roasted swordfish with salsa on puy lentils,Ingredients
Roasted swordfish with salsa on puy lentils,For the lentils:
Roasted swordfish with salsa on puy lentils,250g puy lentils
Roasted swordfish with salsa on puy lentils,"2 cloves garlic, crushed"
Roasted swordfish with salsa on puy lentils,600ml vegetable stock
Roasted swordfish with salsa on puy lentils,"4 tomatoes, roughly chopped"
Roasted swordfish with salsa on puy lentils,"1 bunch spring onions, chopped"
Roasted swordfish with salsa on puy lentils,4 x 125g pieces swordfish
Roasted swordfish with salsa on puy lentils,1 tbsp oil
Roasted swordfish with salsa on puy lentils,"black pepper, to season"
Roasted swordfish with salsa on puy lentils,For the salsa:
Roasted swordfish with salsa on puy lentils,"6 tbsp mixed fresh herbs (e.g. parsley, coriander, mint)"
Roasted swordfish with salsa on puy lentils,"2 tbsp capers, drained"
Roasted swordfish with salsa on puy lentils,4 anchovy fillets
Roasted swordfish with salsa on puy lentils,grated rind and juice 1 lemon
Roasted swordfish with salsa on puy lentils,2 tbsp olive oil
Roasted swordfish with salsa on puy lentils,Ingredients
Roasted swordfish with salsa on puy lentils,1 tsp rapeseed oil
Roasted swordfish with salsa on puy lentils,"1 red onion, chopped"
Roasted swordfish with salsa on puy lentils,"100g mushrooms, cut into wedges"
Roasted swordfish with salsa on puy lentils,1 heaped tsp plain flour
Roasted swordfish with salsa on puy lentils,"1 low-salt fish stock cube, dissolved in 300ml water"
Roasted swordfish with salsa on puy lentils,"1 400g can lentils, drained"
Roasted swordfish with salsa on puy lentils,1 tbsp 0% fat Greek yogurt
Roasted swordfish with salsa on puy lentils,2 cod steaks (approx. 150g each)
Roasted swordfish with salsa on puy lentils,1 tsp chopped parsley
Roasted swordfish with salsa on puy lentils,good grind black pepper
Roasted swordfish with salsa on puy lentils,Ingredients
Roasted swordfish with salsa on puy lentils,2 tsp rapeseed oil
Roasted swordfish with salsa on puy lentils,4 pork escalopes (400g)
Roasted swordfish with salsa on puy lentils,"2–3 leeks, chopped (400g)"
Roasted swordfish with salsa on puy lentils,3 heaped tsp Dijon mustard
Roasted swordfish with salsa on puy lentils,2 heaped tsp plain flour
Roasted swordfish with salsa on puy lentils,500ml skimmed milk
Roasted swordfish with salsa on puy lentils,pinch pepper
Roast cod with creamy mushroom lentils,Ingredients
Roast cod with creamy mushroom lentils,"180g 0% fat natural Greek yogurt, plus 4tbsp to serve"
Roast cod with creamy mushroom lentils,"180g self-raising flour, plus 2tsp for dusting"
Roast cod with creamy mushroom lentils,"1/2 small red onion, thinly sliced"
Roast cod with creamy mushroom lentils,"4 tomatoes, thickly sliced"
Roast cod with creamy mushroom lentils,4tsp harissa paste
Roast cod with creamy mushroom lentils,2tsp red wine vinegar
Roast cod with creamy mushroom lentils,1tsp olive oil
Roast cod with creamy mushroom lentils,1tbsp chopped fresh flat-leaf parsley
Roast cod with creamy mushroom lentils,"Rocket, to serve"
Roast cod with creamy mushroom lentils,Ingredients
Roast cod with creamy mushroom lentils,"6 medium-sized potatoes, scrubbed"
Roast cod with creamy mushroom lentils,2 eggs
Roast cod with creamy mushroom lentils,½ tsp salt
Roast cod with creamy mushroom lentils,"your choice of herbs and spices, to taste (we used 1 tbsp freshly chopped parsley plus a good pinch black pepper)"
Roast cod with creamy mushroom lentils,2 tsp oil
Roast cod with creamy mushroom lentils,"2 large onions, chopped"
Roast cod with creamy mushroom lentils,"2 cloves garlic, crushed"
Roast cod with creamy mushroom lentils,"250g mushrooms, sliced (any type)"
Roast cod with creamy mushroom lentils,Ingredients
Roast cod with creamy mushroom lentils,For the lentils:
Roast cod with creamy mushroom lentils,250g puy lentils
Roast cod with creamy mushroom lentils,"2 cloves garlic, crushed"
Roast cod with creamy mushroom lentils,600ml vegetable stock
Roast cod with creamy mushroom lentils,"4 tomatoes, roughly chopped"
Roast cod with creamy mushroom lentils,"1 bunch spring onions, chopped"
Roast cod with creamy mushroom lentils,4 x 125g pieces swordfish
Roast cod with creamy mushroom lentils,1 tbsp oil
Roast cod with creamy mushroom lentils,"black pepper, to season"
Roast cod with creamy mushroom lentils,For the salsa:
Roast cod with creamy mushroom lentils,"6 tbsp mixed fresh herbs (e.g. parsley, coriander, mint)"
Roast cod with creamy mushroom lentils,"2 tbsp capers, drained"
Roast cod with creamy mushroom lentils,4 anchovy fillets
Roast cod with creamy mushroom lentils,grated rind and juice 1 lemon
Roast cod with creamy mushroom lentils,2 tbsp olive oil
Roast cod with creamy mushroom lentils,Ingredients
Roast cod with creamy mushroom lentils,1 tsp rapeseed oil
Roast cod with creamy mushroom lentils,"1 red onion, chopped"
Roast cod with creamy mushroom lentils,"100g mushrooms, cut into wedges"
Roast cod with creamy mushroom lentils,1 heaped tsp plain flour
Roast cod with creamy mushroom lentils,"1 low-salt fish stock cube, dissolved in 300ml water"
Roast cod with creamy mushroom lentils,"1 400g can lentils, drained"
Roast cod with creamy mushroom lentils,1 tbsp 0% fat Greek yogurt
Roast cod with creamy mushroom lentils,2 cod steaks (approx. 150g each)
Roast cod with creamy mushroom lentils,1 tsp chopped parsley
Roast cod with creamy mushroom lentils,good grind black pepper
Roast cod with creamy mushroom lentils,Ingredients
Roast cod with creamy mushroom lentils,2 tsp rapeseed oil
Roast cod with creamy mushroom lentils,4 pork escalopes (400g)
Roast cod with creamy mushroom lentils,"2–3 leeks, chopped (400g)"
Roast cod with creamy mushroom lentils,3 heaped tsp Dijon mustard
Roast cod with creamy mushroom lentils,2 heaped tsp plain flour
Roast cod with creamy mushroom lentils,500ml skimmed milk
Roast cod with creamy mushroom lentils,pinch pepper
Pork with creamy leek sauce,Ingredients
Pork with creamy leek sauce,"180g 0% fat natural Greek yogurt, plus 4tbsp to serve"
Pork with creamy leek sauce,"180g self-raising flour, plus 2tsp for dusting"
Pork with creamy leek sauce,"1/2 small red onion, thinly sliced"
Pork with creamy leek sauce,"4 tomatoes, thickly sliced"
Pork with creamy leek sauce,4tsp harissa paste
Pork with creamy leek sauce,2tsp red wine vinegar
Pork with creamy leek sauce,1tsp olive oil
Pork with creamy leek sauce,1tbsp chopped fresh flat-leaf parsley
Pork with creamy leek sauce,"Rocket, to serve"
Pork with creamy leek sauce,Ingredients
Pork with creamy leek sauce,"6 medium-sized potatoes, scrubbed"
Pork with creamy leek sauce,2 eggs
Pork with creamy leek sauce,½ tsp salt
Pork with creamy leek sauce,"your choice of herbs and spices, to taste (we used 1 tbsp freshly chopped parsley plus a good pinch black pepper)"
Pork with creamy leek sauce,2 tsp oil
Pork with creamy leek sauce,"2 large onions, chopped"
Pork with creamy leek sauce,"2 cloves garlic, crushed"
Pork with creamy leek sauce,"250g mushrooms, sliced (any type)"
Pork with creamy leek sauce,Ingredients
Pork with creamy leek sauce,For the lentils:
Pork with creamy leek sauce,250g puy lentils
Pork with creamy leek sauce,"2 cloves garlic, crushed"
Pork with creamy leek sauce,600ml vegetable stock
Pork with creamy leek sauce,"4 tomatoes, roughly chopped"
Pork with creamy leek sauce,"1 bunch spring onions, chopped"
Pork with creamy leek sauce,4 x 125g pieces swordfish
Pork with creamy leek sauce,1 tbsp oil
Pork with creamy leek sauce,"black pepper, to season"
Pork with creamy leek sauce,For the salsa:
Pork with creamy leek sauce,"6 tbsp mixed fresh herbs (e.g. parsley, coriander, mint)"
Pork with creamy leek sauce,"2 tbsp capers, drained"
Pork with creamy leek sauce,4 anchovy fillets
Pork with creamy leek sauce,grated rind and juice 1 lemon
Pork with creamy leek sauce,2 tbsp olive oil
Pork with creamy leek sauce,Ingredients
Pork with creamy leek sauce,1 tsp rapeseed oil
Pork with creamy leek sauce,"1 red onion, chopped"
Pork with creamy leek sauce,"100g mushrooms, cut into wedges"
Pork with creamy leek sauce,1 heaped tsp plain flour
Pork with creamy leek sauce,"1 low-salt fish stock cube, dissolved in 300ml water"
Pork with creamy leek sauce,"1 400g can lentils, drained"
Pork with creamy leek sauce,1 tbsp 0% fat Greek yogurt
Pork with creamy leek sauce,2 cod steaks (approx. 150g each)
Pork with creamy leek sauce,1 tsp chopped parsley
Pork with creamy leek sauce,good grind black pepper
Pork with creamy leek sauce,Ingredients
Pork with creamy leek sauce,2 tsp rapeseed oil
Pork with creamy leek sauce,4 pork escalopes (400g)
Pork with creamy leek sauce,"2–3 leeks, chopped (400g)"
Pork with creamy leek sauce,3 heaped tsp Dijon mustard
Pork with creamy leek sauce,2 heaped tsp plain flour
Pork with creamy leek sauce,500ml skimmed milk
Pork with creamy leek sauce,pinch pepper
Aubergine and chickpea curry,Ingredients
Aubergine and chickpea curry,Calorie-controlled cooking spray
Aubergine and chickpea curry,"1 red onion, finely sliced"
Aubergine and chickpea curry,"3 garlic cloves, crushed"
Aubergine and chickpea curry,1tbsp grated fresh ginger
Aubergine and chickpea curry,1/2tbsp ground coriander
Aubergine and chickpea curry,"3 cardamom pods, crushed"
Aubergine and chickpea curry,1 star anise
Aubergine and chickpea curry,1tbsp tomato purée
Aubergine and chickpea curry,"2 aubergines, cut into 3cm chunks"
Aubergine and chickpea curry,500g passata
Aubergine and chickpea curry,"300ml veg stock, made with 1/2 reduced salt stock cube"
Aubergine and chickpea curry,"2 x 400g tins chickpeas, drained and rinsed"
Aubergine and chickpea curry,"50g fat-free natural yogurt, plus 2tbsp to serve"
Aubergine and chickpea curry,"Finely grated zest and juice of half a lime, plus wedges to serve"
Aubergine and chickpea curry,"2tbsp finely chopped fresh coriander, plus extra to serve"
Aubergine and chickpea curry,2 x 250g pouches microwave brown basmati rice
Aubergine and chickpea curry,Ingredients
Aubergine and chickpea curry,100g lower-fat spread
Aubergine and chickpea curry,125g porridge oats
Aubergine and chickpea curry,120g wholemeal flour
Aubergine and chickpea curry,"75g pitted prunes, chopped"
Aubergine and chickpea curry,65g sultanas
Aubergine and chickpea curry,1 tsp mixed spice
Aubergine and chickpea curry,1 tsp ginger
Aubergine and chickpea curry,"2 small eggs, beaten"
Aubergine and chickpea curry,1 -2 tsp granulated sweetener
Aubergine and chickpea curry,Ingredients
Aubergine and chickpea curry,2 tbsp extra-virgin olive oil
Aubergine and chickpea curry,"12 plum tomatoes, cut in half (stem to tip)"
Aubergine and chickpea curry,"4 red peppers, deseeded, cut into eighths"
Aubergine and chickpea curry,"3 red onions, quartered"
Aubergine and chickpea curry,"5cm piece root ginger, peeled and chopped"
Aubergine and chickpea curry,12 cloves garlic (unpeeled)
Aubergine and chickpea curry,4 big sprigs thyme
Aubergine and chickpea curry,freshly ground black pepper
Aubergine and chickpea curry,Ingredients
Aubergine and chickpea curry,2kg whole chicken
Aubergine and chickpea curry,"1 lemon, halved"
Aubergine and chickpea curry,good handful fresh herbs (rosemary and thyme are ideal)
Aubergine and chickpea curry,freshly ground black pepper
Aubergine and chickpea curry,300ml boiling water
Aubergine and chickpea curry,Ingredients
Aubergine and chickpea curry,1 tsp rapeseed oil
Aubergine and chickpea curry,"2 lean pork chops (approx. 125g each), fat trimmed off"
Aubergine and chickpea curry,freshly ground black pepper
Aubergine and chickpea curry,"1 eating apple, quartered and cored"
Aubergine and chickpea curry,"1 large pear, quartered and cored"
Aubergine and chickpea curry,"200g new potatoes, cut into chunks"
Aubergine and chickpea curry,"1 small onion, cut into wedges"
Aubergine and chickpea curry,grated rind and juice 1 orange
Aubergine and chickpea curry,1 tsp fresh thyme or half tsp dried
Aubergine and chickpea curry,1 tbsp wholegrain mustard
Aubergine and chickpea curry,2 tbsp half-fat crème fraiche
Fruity oatbake,Ingredients
Fruity oatbake,Calorie-controlled cooking spray
Fruity oatbake,"1 red onion, finely sliced"
Fruity oatbake,"3 garlic cloves, crushed"
Fruity oatbake,1tbsp grated fresh ginger
Fruity oatbake,1/2tbsp ground coriander
Fruity oatbake,"3 cardamom pods, crushed"
Fruity oatbake,1 star anise
Fruity oatbake,1tbsp tomato purée
Fruity oatbake,"2 aubergines, cut into 3cm chunks"
Fruity oatbake,500g passata
Fruity oatbake,"300ml veg stock, made with 1/2 reduced salt stock cube"
Fruity oatbake,"2 x 400g tins chickpeas, drained and rinsed"
Fruity oatbake,"50g fat-free natural yogurt, plus 2tbsp to serve"
Fruity oatbake,"Finely grated zest and juice of half a lime, plus wedges to serve"
Fruity oatbake,"2tbsp finely chopped fresh coriander, plus extra to serve"
Fruity oatbake,2 x 250g pouches microwave brown basmati rice
Fruity oatbake,Ingredients
Fruity oatbake,100g lower-fat spread
Fruity oatbake,125g porridge oats
Fruity oatbake,120g wholemeal flour
Fruity oatbake,"75g pitted prunes, chopped"
Fruity oatbake,65g sultanas
Fruity oatbake,1 tsp mixed spice
Fruity oatbake,1 tsp ginger
Fruity oatbake,"2 small eggs, beaten"
Fruity oatbake,1 -2 tsp granulated sweetener
Fruity oatbake,Ingredients
Fruity oatbake,2 tbsp extra-virgin olive oil
Fruity oatbake,"12 plum tomatoes, cut in half (stem to tip)"
Fruity oatbake,"4 red peppers, deseeded, cut into eighths"
Fruity oatbake,"3 red onions, quartered"
Fruity oatbake,"5cm piece root ginger, peeled and chopped"
Fruity oatbake,12 cloves garlic (unpeeled)
Fruity oatbake,4 big sprigs thyme
Fruity oatbake,freshly ground black pepper
Fruity oatbake,Ingredients
Fruity oatbake,2kg whole chicken
Fruity oatbake,"1 lemon, halved"
Fruity oatbake,good handful fresh herbs (rosemary and thyme are ideal)
Fruity oatbake,freshly ground black pepper
Fruity oatbake,300ml boiling water
Fruity oatbake,Ingredients
Fruity oatbake,1 tsp rapeseed oil
Fruity oatbake,"2 lean pork chops (approx. 125g each), fat trimmed off"
Fruity oatbake,freshly ground black pepper
Fruity oatbake,"1 eating apple, quartered and cored"
Fruity oatbake,"1 large pear, quartered and cored"
Fruity oatbake,"200g new potatoes, cut into chunks"
Fruity oatbake,"1 small onion, cut into wedges"
Fruity oatbake,grated rind and juice 1 orange
Fruity oatbake,1 tsp fresh thyme or half tsp dried
Fruity oatbake,1 tbsp wholegrain mustard
Fruity oatbake,2 tbsp half-fat crème fraiche
Roasted red vegetables with ginger and garlic,Ingredients
Roasted red vegetables with ginger and garlic,Calorie-controlled cooking spray
Roasted red vegetables with ginger and garlic,"1 red onion, finely sliced"
Roasted red vegetables with ginger and garlic,"3 garlic cloves, crushed"
Roasted red vegetables with ginger and garlic,1tbsp grated fresh ginger
Roasted red vegetables with ginger and garlic,1/2tbsp ground coriander
Roasted red vegetables with ginger and garlic,"3 cardamom pods, crushed"
Roasted red vegetables with ginger and garlic,1 star anise
Roasted red vegetables with ginger and garlic,1tbsp tomato purée
Roasted red vegetables with ginger and garlic,"2 aubergines, cut into 3cm chunks"
Roasted red vegetables with ginger and garlic,500g passata
Roasted red vegetables with ginger and garlic,"300ml veg stock, made with 1/2 reduced salt stock cube"
Roasted red vegetables with ginger and garlic,"2 x 400g tins chickpeas, drained and rinsed"
Roasted red vegetables with ginger and garlic,"50g fat-free natural yogurt, plus 2tbsp to serve"
Roasted red vegetables with ginger and garlic,"Finely grated zest and juice of half a lime, plus wedges to serve"
Roasted red vegetables with ginger and garlic,"2tbsp finely chopped fresh coriander, plus extra to serve"
Roasted red vegetables with ginger and garlic,2 x 250g pouches microwave brown basmati rice
Roasted red vegetables with ginger and garlic,Ingredients
Roasted red vegetables with ginger and garlic,100g lower-fat spread
Roasted red vegetables with ginger and garlic,125g porridge oats
Roasted red vegetables with ginger and garlic,120g wholemeal flour
Roasted red vegetables with ginger and garlic,"75g pitted prunes, chopped"
Roasted red vegetables with ginger and garlic,65g sultanas
Roasted red vegetables with ginger and garlic,1 tsp mixed spice
Roasted red vegetables with ginger and garlic,1 tsp ginger
Roasted red vegetables with ginger and garlic,"2 small eggs, beaten"
Roasted red vegetables with ginger and garlic,1 -2 tsp granulated sweetener
Roasted red vegetables with ginger and garlic,Ingredients
Roasted red vegetables with ginger and garlic,2 tbsp extra-virgin olive oil
Roasted red vegetables with ginger and garlic,"12 plum tomatoes, cut in half (stem to tip)"
Roasted red vegetables with ginger and garlic,"4 red peppers, deseeded, cut into eighths"
Roasted red vegetables with ginger and garlic,"3 red onions, quartered"
Roasted red vegetables with ginger and garlic,"5cm piece root ginger, peeled and chopped"
Roasted red vegetables with ginger and garlic,12 cloves garlic (unpeeled)
Roasted red vegetables with ginger and garlic,4 big sprigs thyme
Roasted red vegetables with ginger and garlic,freshly ground black pepper
Roasted red vegetables with ginger and garlic,Ingredients
Roasted red vegetables with ginger and garlic,2kg whole chicken
Roasted red vegetables with ginger and garlic,"1 lemon, halved"
Roasted red vegetables with ginger and garlic,good handful fresh herbs (rosemary and thyme are ideal)
Roasted red vegetables with ginger and garlic,freshly ground black pepper
Roasted red vegetables with ginger and garlic,300ml boiling water
Roasted red vegetables with ginger and garlic,Ingredients
Roasted red vegetables with ginger and garlic,1 tsp rapeseed oil
Roasted red vegetables with ginger and garlic,"2 lean pork chops (approx. 125g each), fat trimmed off"
Roasted red vegetables with ginger and garlic,freshly ground black pepper
Roasted red vegetables with ginger and garlic,"1 eating apple, quartered and cored"
Roasted red vegetables with ginger and garlic,"1 large pear, quartered and cored"
Roasted red vegetables with ginger and garlic,"200g new potatoes, cut into chunks"
Roasted red vegetables with ginger and garlic,"1 small onion, cut into wedges"
Roasted red vegetables with ginger and garlic,grated rind and juice 1 orange
Roasted red vegetables with ginger and garlic,1 tsp fresh thyme or half tsp dried
Roasted red vegetables with ginger and garlic,1 tbsp wholegrain mustard
Roasted red vegetables with ginger and garlic,2 tbsp half-fat crème fraiche
Roast chicken,Ingredients
Roast chicken,Calorie-controlled cooking spray
Roast chicken,"1 red onion, finely sliced"
Roast chicken,"3 garlic cloves, crushed"
Roast chicken,1tbsp grated fresh ginger
Roast chicken,1/2tbsp ground coriander
Roast chicken,"3 cardamom pods, crushed"
Roast chicken,1 star anise
Roast chicken,1tbsp tomato purée
Roast chicken,"2 aubergines, cut into 3cm chunks"
Roast chicken,500g passata
Roast chicken,"300ml veg stock, made with 1/2 reduced salt stock cube"
Roast chicken,"2 x 400g tins chickpeas, drained and rinsed"
Roast chicken,"50g fat-free natural yogurt, plus 2tbsp to serve"
Roast chicken,"Finely grated zest and juice of half a lime, plus wedges to serve"
Roast chicken,"2tbsp finely chopped fresh coriander, plus extra to serve"
Roast chicken,2 x 250g pouches microwave brown basmati rice
Roast chicken,Ingredients
Roast chicken,100g lower-fat spread
Roast chicken,125g porridge oats
Roast chicken,120g wholemeal flour
Roast chicken,"75g pitted prunes, chopped"
Roast chicken,65g sultanas
Roast chicken,1 tsp mixed spice
Roast chicken,1 tsp ginger
Roast chicken,"2 small eggs, beaten"
Roast chicken,1 -2 tsp granulated sweetener
Roast chicken,Ingredients
Roast chicken,2 tbsp extra-virgin olive oil
Roast chicken,"12 plum tomatoes, cut in half (stem to tip)"
Roast chicken,"4 red peppers, deseeded, cut into eighths"
Roast chicken,"3 red onions, quartered"
Roast chicken,"5cm piece root ginger, peeled and chopped"
Roast chicken,12 cloves garlic (unpeeled)
Roast chicken,4 big sprigs thyme
Roast chicken,freshly ground black pepper
Roast chicken,Ingredients
Roast chicken,2kg whole chicken
Roast chicken,"1 lemon, halved"
Roast chicken,good handful fresh herbs (rosemary and thyme are ideal)
Roast chicken,freshly ground black pepper
Roast chicken,300ml boiling water
Roast chicken,Ingredients
Roast chicken,1 tsp rapeseed oil
Roast chicken,"2 lean pork chops (approx. 125g each), fat trimmed off"
Roast chicken,freshly ground black pepper
Roast chicken,"1 eating apple, quartered and cored"
Roast chicken,"1 large pear, quartered and cored"
Roast chicken,"200g new potatoes, cut into chunks"
Roast chicken,"1 small onion, cut into wedges"
Roast chicken,grated rind and juice 1 orange
Roast chicken,1 tsp fresh thyme or half tsp dried
Roast chicken,1 tbsp wholegrain mustard
Roast chicken,2 tbsp half-fat crème fraiche
"Pork chops with roasted pear, apple and new potatoes",Ingredients
"Pork chops with roasted pear, apple and new potatoes",Calorie-controlled cooking spray
"Pork chops with roasted pear, apple and new potatoes","1 red onion, finely sliced"
"Pork chops with roasted pear, apple and new potatoes","3 garlic cloves, crushed"
"Pork chops with roasted pear, apple and new potatoes",1tbsp grated fresh ginger
"Pork chops with roasted pear, apple and new potatoes",1/2tbsp ground coriander
"Pork chops with roasted pear, apple and new potatoes","3 cardamom pods, crushed"
"Pork chops with roasted pear, apple and new potatoes",1 star anise
"Pork chops with roasted pear, apple and new potatoes",1tbsp tomato purée
"Pork chops with roasted pear, apple and new potatoes","2 aubergines, cut into 3cm chunks"
"Pork chops with roasted pear, apple and new potatoes",500g passata
"Pork chops with roasted pear, apple and new potatoes","300ml veg stock, made with 1/2 reduced salt stock cube"
