,Hb,Date,Dates,Time
47,8.0,2020-01-02 23:00:00,2020-01-02,23:00:00
48,4.0,2020-01-03 00:00:00,2020-01-03,00:00:00
49,3.0,2020-01-03 01:00:00,2020-01-03,01:00:00
50,6.0,2020-01-03 02:00:00,2020-01-03,02:00:00
51,2.0,2020-01-03 03:00:00,2020-01-03,03:00:00
52,1.0,2020-01-03 04:00:00,2020-01-03,04:00:00
53,2.0,2020-01-03 05:00:00,2020-01-03,05:00:00
54,1.0,2020-01-03 06:00:00,2020-01-03,06:00:00
55,2.0,2020-01-03 07:00:00,2020-01-03,07:00:00
56,10.0,2020-01-03 08:00:00,2020-01-03,08:00:00
57,5.0,2020-01-03 09:00:00,2020-01-03,09:00:00
58,7.0,2020-01-03 10:00:00,2020-01-03,10:00:00
59,2.0,2020-01-03 11:00:00,2020-01-03,11:00:00
60,5.0,2020-01-03 12:00:00,2020-01-03,12:00:00
61,3.0,2020-01-03 13:00:00,2020-01-03,13:00:00
62,4.0,2020-01-03 14:00:00,2020-01-03,14:00:00
63,4.0,2020-01-03 15:00:00,2020-01-03,15:00:00
64,2.0,2020-01-03 16:00:00,2020-01-03,16:00:00
65,2.0,2020-01-03 17:00:00,2020-01-03,17:00:00
66,1.0,2020-01-03 18:00:00,2020-01-03,18:00:00
67,4.0,2020-01-03 19:00:00,2020-01-03,19:00:00
68,1.0,2020-01-03 20:00:00,2020-01-03,20:00:00
69,2.0,2020-01-03 21:00:00,2020-01-03,21:00:00
70,1.0,2020-01-03 22:00:00,2020-01-03,22:00:00
71,4.0,2020-01-03 23:00:00,2020-01-03,23:00:00
72,3.0,2020-01-04 00:00:00,2020-01-04,00:00:00
73,1.0,2020-01-04 01:00:00,2020-01-04,01:00:00
74,1.0,2020-01-04 02:00:00,2020-01-04,02:00:00
75,1.0,2020-01-04 03:00:00,2020-01-04,03:00:00
76,4.0,2020-01-04 04:00:00,2020-01-04,04:00:00
77,4.0,2020-01-04 05:00:00,2020-01-04,05:00:00
78,4.0,2020-01-04 06:00:00,2020-01-04,06:00:00
79,3.0,2020-01-04 07:00:00,2020-01-04,07:00:00
80,4.0,2020-01-04 08:00:00,2020-01-04,08:00:00
81,1.0,2020-01-04 09:00:00,2020-01-04,09:00:00
82,1.0,2020-01-04 10:00:00,2020-01-04,10:00:00
83,1.0,2020-01-04 11:00:00,2020-01-04,11:00:00
84,1.0,2020-01-04 12:00:00,2020-01-04,12:00:00
85,3.0,2020-01-04 13:00:00,2020-01-04,13:00:00
86,3.0,2020-01-04 14:00:00,2020-01-04,14:00:00
87,2.0,2020-01-04 15:00:00,2020-01-04,15:00:00
88,3.0,2020-01-04 16:00:00,2020-01-04,16:00:00
89,2.0,2020-01-04 17:00:00,2020-01-04,17:00:00
90,1.0,2020-01-04 18:00:00,2020-01-04,18:00:00
91,6.0,2020-01-04 19:00:00,2020-01-04,19:00:00
92,3.0,2020-01-04 20:00:00,2020-01-04,20:00:00
93,8.0,2020-01-04 21:00:00,2020-01-04,21:00:00
94,1.0,2020-01-04 22:00:00,2020-01-04,22:00:00
95,4.0,2020-01-04 23:00:00,2020-01-04,23:00:00
96,1.0,2020-01-05 00:00:00,2020-01-05,00:00:00
97,5.0,2020-01-05 01:00:00,2020-01-05,01:00:00
98,4.0,2020-01-05 02:00:00,2020-01-05,02:00:00
99,3.0,2020-01-05 03:00:00,2020-01-05,03:00:00
100,1.0,2020-01-05 04:00:00,2020-01-05,04:00:00
101,5.0,2020-01-05 05:00:00,2020-01-05,05:00:00
102,3.0,2020-01-05 06:00:00,2020-01-05,06:00:00
103,3.0,2020-01-05 07:00:00,2020-01-05,07:00:00
104,2.0,2020-01-05 08:00:00,2020-01-05,08:00:00
105,2.0,2020-01-05 09:00:00,2020-01-05,09:00:00
106,3.0,2020-01-05 10:00:00,2020-01-05,10:00:00
107,7.0,2020-01-05 11:00:00,2020-01-05,11:00:00
108,1.0,2020-01-05 12:00:00,2020-01-05,12:00:00
109,6.0,2020-01-05 13:00:00,2020-01-05,13:00:00
110,3.0,2020-01-05 14:00:00,2020-01-05,14:00:00
111,5.0,2020-01-05 15:00:00,2020-01-05,15:00:00
112,2.0,2020-01-05 16:00:00,2020-01-05,16:00:00
113,4.0,2020-01-05 17:00:00,2020-01-05,17:00:00
114,4.0,2020-01-05 18:00:00,2020-01-05,18:00:00
115,4.0,2020-01-05 19:00:00,2020-01-05,19:00:00
116,4.0,2020-01-05 20:00:00,2020-01-05,20:00:00
117,4.0,2020-01-05 21:00:00,2020-01-05,21:00:00
118,2.0,2020-01-05 22:00:00,2020-01-05,22:00:00
119,3.0,2020-01-05 23:00:00,2020-01-05,23:00:00
120,2.0,2020-01-06 00:00:00,2020-01-06,00:00:00
121,1.0,2020-01-06 01:00:00,2020-01-06,01:00:00
122,3.0,2020-01-06 02:00:00,2020-01-06,02:00:00
123,1.0,2020-01-06 03:00:00,2020-01-06,03:00:00
124,4.0,2020-01-06 04:00:00,2020-01-06,04:00:00
125,3.0,2020-01-06 05:00:00,2020-01-06,05:00:00
126,2.0,2020-01-06 06:00:00,2020-01-06,06:00:00
127,2.0,2020-01-06 07:00:00,2020-01-06,07:00:00
128,4.0,2020-01-06 08:00:00,2020-01-06,08:00:00
129,3.0,2020-01-06 09:00:00,2020-01-06,09:00:00
130,5.0,2020-01-06 10:00:00,2020-01-06,10:00:00
131,1.0,2020-01-06 11:00:00,2020-01-06,11:00:00
132,4.0,2020-01-06 12:00:00,2020-01-06,12:00:00
133,1.0,2020-01-06 13:00:00,2020-01-06,13:00:00
134,2.0,2020-01-06 14:00:00,2020-01-06,14:00:00
135,3.0,2020-01-06 15:00:00,2020-01-06,15:00:00
136,4.0,2020-01-06 16:00:00,2020-01-06,16:00:00
137,4.0,2020-01-06 17:00:00,2020-01-06,17:00:00
138,3.0,2020-01-06 18:00:00,2020-01-06,18:00:00
139,6.0,2020-01-06 19:00:00,2020-01-06,19:00:00
140,3.0,2020-01-06 20:00:00,2020-01-06,20:00:00
141,2.0,2020-01-06 21:00:00,2020-01-06,21:00:00
142,0.0,2020-01-06 22:00:00,2020-01-06,22:00:00
143,3.0,2020-01-06 23:00:00,2020-01-06,23:00:00
144,1.0,2020-01-07 00:00:00,2020-01-07,00:00:00
145,1.0,2020-01-07 01:00:00,2020-01-07,01:00:00
146,2.0,2020-01-07 02:00:00,2020-01-07,02:00:00
147,3.0,2020-01-07 03:00:00,2020-01-07,03:00:00
148,2.0,2020-01-07 04:00:00,2020-01-07,04:00:00
149,2.0,2020-01-07 05:00:00,2020-01-07,05:00:00
150,1.0,2020-01-07 06:00:00,2020-01-07,06:00:00
151,2.0,2020-01-07 07:00:00,2020-01-07,07:00:00
152,5.0,2020-01-07 08:00:00,2020-01-07,08:00:00
153,7.0,2020-01-07 09:00:00,2020-01-07,09:00:00
154,3.0,2020-01-07 10:00:00,2020-01-07,10:00:00
155,2.0,2020-01-07 11:00:00,2020-01-07,11:00:00
156,4.0,2020-01-07 12:00:00,2020-01-07,12:00:00
157,4.0,2020-01-07 13:00:00,2020-01-07,13:00:00
158,1.0,2020-01-07 14:00:00,2020-01-07,14:00:00
159,2.0,2020-01-07 15:00:00,2020-01-07,15:00:00
160,6.0,2020-01-07 16:00:00,2020-01-07,16:00:00
161,4.0,2020-01-07 17:00:00,2020-01-07,17:00:00
162,4.0,2020-01-07 18:00:00,2020-01-07,18:00:00
163,0.0,2020-01-07 19:00:00,2020-01-07,19:00:00
164,4.0,2020-01-07 20:00:00,2020-01-07,20:00:00
165,1.0,2020-01-07 21:00:00,2020-01-07,21:00:00
166,2.0,2020-01-07 22:00:00,2020-01-07,22:00:00
167,5.0,2020-01-07 23:00:00,2020-01-07,23:00:00
168,2.0,2020-01-08 00:00:00,2020-01-08,00:00:00
169,2.0,2020-01-08 01:00:00,2020-01-08,01:00:00
170,3.0,2020-01-08 02:00:00,2020-01-08,02:00:00
171,2.0,2020-01-08 03:00:00,2020-01-08,03:00:00
172,5.0,2020-01-08 04:00:00,2020-01-08,04:00:00
173,3.0,2020-01-08 05:00:00,2020-01-08,05:00:00
174,3.0,2020-01-08 06:00:00,2020-01-08,06:00:00
175,3.0,2020-01-08 07:00:00,2020-01-08,07:00:00
176,3.0,2020-01-08 08:00:00,2020-01-08,08:00:00
177,5.0,2020-01-08 09:00:00,2020-01-08,09:00:00
178,6.0,2020-01-08 10:00:00,2020-01-08,10:00:00
179,2.0,2020-01-08 11:00:00,2020-01-08,11:00:00
180,6.0,2020-01-08 12:00:00,2020-01-08,12:00:00
181,7.0,2020-01-08 13:00:00,2020-01-08,13:00:00
182,3.0,2020-01-08 14:00:00,2020-01-08,14:00:00
183,2.0,2020-01-08 15:00:00,2020-01-08,15:00:00
184,2.0,2020-01-08 16:00:00,2020-01-08,16:00:00
185,5.0,2020-01-08 17:00:00,2020-01-08,17:00:00
186,2.0,2020-01-08 18:00:00,2020-01-08,18:00:00
187,4.0,2020-01-08 19:00:00,2020-01-08,19:00:00
188,4.0,2020-01-08 20:00:00,2020-01-08,20:00:00
189,2.0,2020-01-08 21:00:00,2020-01-08,21:00:00
190,3.0,2020-01-08 22:00:00,2020-01-08,22:00:00
191,2.0,2020-01-08 23:00:00,2020-01-08,23:00:00
192,3.0,2020-01-09 00:00:00,2020-01-09,00:00:00
193,2.0,2020-01-09 01:00:00,2020-01-09,01:00:00
194,1.0,2020-01-09 02:00:00,2020-01-09,02:00:00
195,3.0,2020-01-09 03:00:00,2020-01-09,03:00:00
196,3.0,2020-01-09 04:00:00,2020-01-09,04:00:00
197,3.0,2020-01-09 05:00:00,2020-01-09,05:00:00
198,3.0,2020-01-09 06:00:00,2020-01-09,06:00:00
199,2.0,2020-01-09 07:00:00,2020-01-09,07:00:00
200,8.0,2020-01-09 08:00:00,2020-01-09,08:00:00
201,0.0,2020-01-09 09:00:00,2020-01-09,09:00:00
202,6.0,2020-01-09 10:00:00,2020-01-09,10:00:00
203,4.0,2020-01-09 11:00:00,2020-01-09,11:00:00
204,3.0,2020-01-09 12:00:00,2020-01-09,12:00:00
205,6.0,2020-01-09 13:00:00,2020-01-09,13:00:00
206,3.0,2020-01-09 14:00:00,2020-01-09,14:00:00
207,2.0,2020-01-09 15:00:00,2020-01-09,15:00:00
208,0.0,2020-01-09 16:00:00,2020-01-09,16:00:00
209,2.0,2020-01-09 17:00:00,2020-01-09,17:00:00
210,5.0,2020-01-09 18:00:00,2020-01-09,18:00:00
211,4.0,2020-01-09 19:00:00,2020-01-09,19:00:00
212,9.0,2020-01-09 20:00:00,2020-01-09,20:00:00
213,3.0,2020-01-09 21:00:00,2020-01-09,21:00:00
214,5.0,2020-01-09 22:00:00,2020-01-09,22:00:00
215,1.0,2020-01-09 23:00:00,2020-01-09,23:00:00
216,4.0,2020-01-10 00:00:00,2020-01-10,00:00:00
217,3.0,2020-01-10 01:00:00,2020-01-10,01:00:00
218,3.0,2020-01-10 02:00:00,2020-01-10,02:00:00
219,3.0,2020-01-10 03:00:00,2020-01-10,03:00:00
220,3.0,2020-01-10 04:00:00,2020-01-10,04:00:00
221,3.0,2020-01-10 05:00:00,2020-01-10,05:00:00
222,3.0,2020-01-10 06:00:00,2020-01-10,06:00:00
223,3.0,2020-01-10 07:00:00,2020-01-10,07:00:00
224,1.0,2020-01-10 08:00:00,2020-01-10,08:00:00
225,2.0,2020-01-10 09:00:00,2020-01-10,09:00:00
226,1.0,2020-01-10 10:00:00,2020-01-10,10:00:00
227,3.0,2020-01-10 11:00:00,2020-01-10,11:00:00
228,1.0,2020-01-10 12:00:00,2020-01-10,12:00:00
229,3.0,2020-01-10 13:00:00,2020-01-10,13:00:00
230,1.0,2020-01-10 14:00:00,2020-01-10,14:00:00
231,3.0,2020-01-10 15:00:00,2020-01-10,15:00:00
232,3.0,2020-01-10 16:00:00,2020-01-10,16:00:00
233,2.0,2020-01-10 17:00:00,2020-01-10,17:00:00
234,2.0,2020-01-10 18:00:00,2020-01-10,18:00:00
235,2.0,2020-01-10 19:00:00,2020-01-10,19:00:00
236,3.0,2020-01-10 20:00:00,2020-01-10,20:00:00
237,2.0,2020-01-10 21:00:00,2020-01-10,21:00:00
238,1.0,2020-01-10 22:00:00,2020-01-10,22:00:00
239,5.0,2020-01-10 23:00:00,2020-01-10,23:00:00
240,7.0,2020-01-11 00:00:00,2020-01-11,00:00:00
241,3.0,2020-01-11 01:00:00,2020-01-11,01:00:00
242,3.0,2020-01-11 02:00:00,2020-01-11,02:00:00
243,3.0,2020-01-11 03:00:00,2020-01-11,03:00:00
244,4.0,2020-01-11 04:00:00,2020-01-11,04:00:00
245,3.0,2020-01-11 05:00:00,2020-01-11,05:00:00
246,4.0,2020-01-11 06:00:00,2020-01-11,06:00:00
247,2.0,2020-01-11 07:00:00,2020-01-11,07:00:00
248,1.0,2020-01-11 08:00:00,2020-01-11,08:00:00
249,4.0,2020-01-11 09:00:00,2020-01-11,09:00:00
250,4.0,2020-01-11 10:00:00,2020-01-11,10:00:00
251,6.0,2020-01-11 11:00:00,2020-01-11,11:00:00
252,3.0,2020-01-11 12:00:00,2020-01-11,12:00:00
253,3.0,2020-01-11 13:00:00,2020-01-11,13:00:00
254,2.0,2020-01-11 14:00:00,2020-01-11,14:00:00
255,2.0,2020-01-11 15:00:00,2020-01-11,15:00:00
256,3.0,2020-01-11 16:00:00,2020-01-11,16:00:00
257,2.0,2020-01-11 17:00:00,2020-01-11,17:00:00
258,6.0,2020-01-11 18:00:00,2020-01-11,18:00:00
259,4.0,2020-01-11 19:00:00,2020-01-11,19:00:00
260,3.0,2020-01-11 20:00:00,2020-01-11,20:00:00
261,0.0,2020-01-11 21:00:00,2020-01-11,21:00:00
262,1.0,2020-01-11 22:00:00,2020-01-11,22:00:00
263,3.0,2020-01-11 23:00:00,2020-01-11,23:00:00
264,3.0,2020-01-12 00:00:00,2020-01-12,00:00:00
265,2.0,2020-01-12 01:00:00,2020-01-12,01:00:00
266,4.0,2020-01-12 02:00:00,2020-01-12,02:00:00
267,0.0,2020-01-12 03:00:00,2020-01-12,03:00:00
268,4.0,2020-01-12 04:00:00,2020-01-12,04:00:00
269,3.0,2020-01-12 05:00:00,2020-01-12,05:00:00
270,1.0,2020-01-12 06:00:00,2020-01-12,06:00:00
271,4.0,2020-01-12 07:00:00,2020-01-12,07:00:00
272,4.0,2020-01-12 08:00:00,2020-01-12,08:00:00
273,1.0,2020-01-12 09:00:00,2020-01-12,09:00:00
274,6.0,2020-01-12 10:00:00,2020-01-12,10:00:00
275,4.0,2020-01-12 11:00:00,2020-01-12,11:00:00
276,3.0,2020-01-12 12:00:00,2020-01-12,12:00:00
277,1.0,2020-01-12 13:00:00,2020-01-12,13:00:00
278,0.0,2020-01-12 14:00:00,2020-01-12,14:00:00
279,3.0,2020-01-12 15:00:00,2020-01-12,15:00:00
280,4.0,2020-01-12 16:00:00,2020-01-12,16:00:00
281,5.0,2020-01-12 17:00:00,2020-01-12,17:00:00
282,7.0,2020-01-12 18:00:00,2020-01-12,18:00:00
283,3.0,2020-01-12 19:00:00,2020-01-12,19:00:00
284,2.0,2020-01-12 20:00:00,2020-01-12,20:00:00
285,3.0,2020-01-12 21:00:00,2020-01-12,21:00:00
286,3.0,2020-01-12 22:00:00,2020-01-12,22:00:00
287,1.0,2020-01-12 23:00:00,2020-01-12,23:00:00
288,8.0,2020-01-13 00:00:00,2020-01-13,00:00:00
289,2.0,2020-01-13 01:00:00,2020-01-13,01:00:00
290,6.0,2020-01-13 02:00:00,2020-01-13,02:00:00
291,2.0,2020-01-13 03:00:00,2020-01-13,03:00:00
292,2.0,2020-01-13 04:00:00,2020-01-13,04:00:00
293,3.0,2020-01-13 05:00:00,2020-01-13,05:00:00
294,1.0,2020-01-13 06:00:00,2020-01-13,06:00:00
295,3.0,2020-01-13 07:00:00,2020-01-13,07:00:00
296,3.0,2020-01-13 08:00:00,2020-01-13,08:00:00
297,2.0,2020-01-13 09:00:00,2020-01-13,09:00:00
298,5.0,2020-01-13 10:00:00,2020-01-13,10:00:00
299,4.0,2020-01-13 11:00:00,2020-01-13,11:00:00
300,5.0,2020-01-13 12:00:00,2020-01-13,12:00:00
301,2.0,2020-01-13 13:00:00,2020-01-13,13:00:00
302,1.0,2020-01-13 14:00:00,2020-01-13,14:00:00
303,4.0,2020-01-13 15:00:00,2020-01-13,15:00:00
304,4.0,2020-01-13 16:00:00,2020-01-13,16:00:00
305,2.0,2020-01-13 17:00:00,2020-01-13,17:00:00
306,3.0,2020-01-13 18:00:00,2020-01-13,18:00:00
307,6.0,2020-01-13 19:00:00,2020-01-13,19:00:00
308,8.0,2020-01-13 20:00:00,2020-01-13,20:00:00
309,3.0,2020-01-13 21:00:00,2020-01-13,21:00:00
310,3.0,2020-01-13 22:00:00,2020-01-13,22:00:00
311,3.0,2020-01-13 23:00:00,2020-01-13,23:00:00
312,3.0,2020-01-14 00:00:00,2020-01-14,00:00:00
313,1.0,2020-01-14 01:00:00,2020-01-14,01:00:00
314,3.0,2020-01-14 02:00:00,2020-01-14,02:00:00
315,0.0,2020-01-14 03:00:00,2020-01-14,03:00:00
316,4.0,2020-01-14 04:00:00,2020-01-14,04:00:00
317,3.0,2020-01-14 05:00:00,2020-01-14,05:00:00
318,1.0,2020-01-14 06:00:00,2020-01-14,06:00:00
319,4.0,2020-01-14 07:00:00,2020-01-14,07:00:00
320,4.0,2020-01-14 08:00:00,2020-01-14,08:00:00
321,2.0,2020-01-14 09:00:00,2020-01-14,09:00:00
322,1.0,2020-01-14 10:00:00,2020-01-14,10:00:00
323,0.0,2020-01-14 11:00:00,2020-01-14,11:00:00
324,2.0,2020-01-14 12:00:00,2020-01-14,12:00:00
325,4.0,2020-01-14 13:00:00,2020-01-14,13:00:00
326,5.0,2020-01-14 14:00:00,2020-01-14,14:00:00
327,3.0,2020-01-14 15:00:00,2020-01-14,15:00:00
328,4.0,2020-01-14 16:00:00,2020-01-14,16:00:00
329,3.0,2020-01-14 17:00:00,2020-01-14,17:00:00
330,2.0,2020-01-14 18:00:00,2020-01-14,18:00:00
331,1.0,2020-01-14 19:00:00,2020-01-14,19:00:00
332,2.0,2020-01-14 20:00:00,2020-01-14,20:00:00
333,1.0,2020-01-14 21:00:00,2020-01-14,21:00:00
334,4.0,2020-01-14 22:00:00,2020-01-14,22:00:00
335,1.0,2020-01-14 23:00:00,2020-01-14,23:00:00
336,3.0,2020-01-15 00:00:00,2020-01-15,00:00:00
337,7.0,2020-01-15 01:00:00,2020-01-15,01:00:00
338,2.0,2020-01-15 02:00:00,2020-01-15,02:00:00
339,4.0,2020-01-15 03:00:00,2020-01-15,03:00:00
340,6.0,2020-01-15 04:00:00,2020-01-15,04:00:00
341,1.0,2020-01-15 05:00:00,2020-01-15,05:00:00
342,7.0,2020-01-15 06:00:00,2020-01-15,06:00:00
343,5.0,2020-01-15 07:00:00,2020-01-15,07:00:00
344,6.0,2020-01-15 08:00:00,2020-01-15,08:00:00
345,1.0,2020-01-15 09:00:00,2020-01-15,09:00:00
346,3.0,2020-01-15 10:00:00,2020-01-15,10:00:00
347,3.0,2020-01-15 11:00:00,2020-01-15,11:00:00
348,1.0,2020-01-15 12:00:00,2020-01-15,12:00:00
349,3.0,2020-01-15 13:00:00,2020-01-15,13:00:00
350,2.0,2020-01-15 14:00:00,2020-01-15,14:00:00
351,4.0,2020-01-15 15:00:00,2020-01-15,15:00:00
352,5.0,2020-01-15 16:00:00,2020-01-15,16:00:00
353,9.0,2020-01-15 17:00:00,2020-01-15,17:00:00
354,3.0,2020-01-15 18:00:00,2020-01-15,18:00:00
355,0.0,2020-01-15 19:00:00,2020-01-15,19:00:00
356,0.0,2020-01-15 20:00:00,2020-01-15,20:00:00
357,3.0,2020-01-15 21:00:00,2020-01-15,21:00:00
358,1.0,2020-01-15 22:00:00,2020-01-15,22:00:00
359,0.0,2020-01-15 23:00:00,2020-01-15,23:00:00
360,2.0,2020-01-16 00:00:00,2020-01-16,00:00:00
361,3.0,2020-01-16 01:00:00,2020-01-16,01:00:00
362,5.0,2020-01-16 02:00:00,2020-01-16,02:00:00
363,1.0,2020-01-16 03:00:00,2020-01-16,03:00:00
364,6.0,2020-01-16 04:00:00,2020-01-16,04:00:00
365,1.0,2020-01-16 05:00:00,2020-01-16,05:00:00
366,3.0,2020-01-16 06:00:00,2020-01-16,06:00:00
367,1.0,2020-01-16 07:00:00,2020-01-16,07:00:00
368,3.0,2020-01-16 08:00:00,2020-01-16,08:00:00
369,5.0,2020-01-16 09:00:00,2020-01-16,09:00:00
370,6.0,2020-01-16 10:00:00,2020-01-16,10:00:00
371,1.0,2020-01-16 11:00:00,2020-01-16,11:00:00
372,3.0,2020-01-16 12:00:00,2020-01-16,12:00:00
373,8.0,2020-01-16 13:00:00,2020-01-16,13:00:00
374,3.0,2020-01-16 14:00:00,2020-01-16,14:00:00
375,1.0,2020-01-16 15:00:00,2020-01-16,15:00:00
376,5.0,2020-01-16 16:00:00,2020-01-16,16:00:00
377,0.0,2020-01-16 17:00:00,2020-01-16,17:00:00
378,2.0,2020-01-16 18:00:00,2020-01-16,18:00:00
379,3.0,2020-01-16 19:00:00,2020-01-16,19:00:00
380,2.0,2020-01-16 20:00:00,2020-01-16,20:00:00
381,1.0,2020-01-16 21:00:00,2020-01-16,21:00:00
382,3.0,2020-01-16 22:00:00,2020-01-16,22:00:00
383,8.0,2020-01-16 23:00:00,2020-01-16,23:00:00
384,5.0,2020-01-17 00:00:00,2020-01-17,00:00:00
385,1.0,2020-01-17 01:00:00,2020-01-17,01:00:00
386,4.0,2020-01-17 02:00:00,2020-01-17,02:00:00
387,2.0,2020-01-17 03:00:00,2020-01-17,03:00:00
388,3.0,2020-01-17 04:00:00,2020-01-17,04:00:00
389,2.0,2020-01-17 05:00:00,2020-01-17,05:00:00
390,0.0,2020-01-17 06:00:00,2020-01-17,06:00:00
391,2.0,2020-01-17 07:00:00,2020-01-17,07:00:00
392,3.0,2020-01-17 08:00:00,2020-01-17,08:00:00
393,3.0,2020-01-17 09:00:00,2020-01-17,09:00:00
394,2.0,2020-01-17 10:00:00,2020-01-17,10:00:00
395,6.0,2020-01-17 11:00:00,2020-01-17,11:00:00
396,4.0,2020-01-17 12:00:00,2020-01-17,12:00:00
397,4.0,2020-01-17 13:00:00,2020-01-17,13:00:00
398,4.0,2020-01-17 14:00:00,2020-01-17,14:00:00
399,4.0,2020-01-17 15:00:00,2020-01-17,15:00:00
400,4.0,2020-01-17 16:00:00,2020-01-17,16:00:00
401,1.0,2020-01-17 17:00:00,2020-01-17,17:00:00
402,2.0,2020-01-17 18:00:00,2020-01-17,18:00:00
403,4.0,2020-01-17 19:00:00,2020-01-17,19:00:00
404,2.0,2020-01-17 20:00:00,2020-01-17,20:00:00
405,3.0,2020-01-17 21:00:00,2020-01-17,21:00:00
406,4.0,2020-01-17 22:00:00,2020-01-17,22:00:00
407,1.0,2020-01-17 23:00:00,2020-01-17,23:00:00
408,4.0,2020-01-18 00:00:00,2020-01-18,00:00:00
409,5.0,2020-01-18 01:00:00,2020-01-18,01:00:00
410,5.0,2020-01-18 02:00:00,2020-01-18,02:00:00
411,1.0,2020-01-18 03:00:00,2020-01-18,03:00:00
412,3.0,2020-01-18 04:00:00,2020-01-18,04:00:00
413,3.0,2020-01-18 05:00:00,2020-01-18,05:00:00
414,2.0,2020-01-18 06:00:00,2020-01-18,06:00:00
415,5.0,2020-01-18 07:00:00,2020-01-18,07:00:00
416,1.0,2020-01-18 08:00:00,2020-01-18,08:00:00
417,4.0,2020-01-18 09:00:00,2020-01-18,09:00:00
418,3.0,2020-01-18 10:00:00,2020-01-18,10:00:00
419,2.0,2020-01-18 11:00:00,2020-01-18,11:00:00
420,1.0,2020-01-18 12:00:00,2020-01-18,12:00:00
421,4.0,2020-01-18 13:00:00,2020-01-18,13:00:00
422,5.0,2020-01-18 14:00:00,2020-01-18,14:00:00
423,5.0,2020-01-18 15:00:00,2020-01-18,15:00:00
424,1.0,2020-01-18 16:00:00,2020-01-18,16:00:00
425,3.0,2020-01-18 17:00:00,2020-01-18,17:00:00
426,6.0,2020-01-18 18:00:00,2020-01-18,18:00:00
427,4.0,2020-01-18 19:00:00,2020-01-18,19:00:00
428,5.0,2020-01-18 20:00:00,2020-01-18,20:00:00
429,2.0,2020-01-18 21:00:00,2020-01-18,21:00:00
430,2.0,2020-01-18 22:00:00,2020-01-18,22:00:00
431,0.0,2020-01-18 23:00:00,2020-01-18,23:00:00
432,7.0,2020-01-19 00:00:00,2020-01-19,00:00:00
433,5.0,2020-01-19 01:00:00,2020-01-19,01:00:00
434,4.0,2020-01-19 02:00:00,2020-01-19,02:00:00
435,5.0,2020-01-19 03:00:00,2020-01-19,03:00:00
